Bulbasaur,Ivysaur,Venusaur,Mega Venusaur
Charmander,Charmeleon,Charizard,Mega Charizard X
,,,Mega Charizard Y
Squirtle,Wartortle,Blastoise,Mega Blastoise
Caterpie,Metapod,Butterfree,
Weedle,Kakuna,Beedrill,Mega Beedrill
Pidgey,Pidgeotto,Pidgeot,Mega Pidgeot
Rattata,Raticate,,
Alolan Rattata,Alolan Raticate,,
Spearow,Fearow,,
Ekans,Arbok,,
Pichu,Pikachu,Raichu,
Alolan Raichu,,,
Sandshrew,Sandslash,,
Alolan Sandshrew,Alolan Sandslash,,
Nidoran F,Nidorina,Nidoqueen,
Nidoran M,Nidorino,Nidoking,
Cleffa,Clefairy,Clefable,
Vulpix,Ninetales,,
Alolan Vulpix,Alolan Ninetales,,
Igglybuff,Jigglypuff,Wigglytuff,
Zubat,Golbat,Crobat,
Oddish,Gloom,Vileplume,
,,Bellossom,
Paras,Parasect,,
Venonat,Venomoth,,
Diglett,Dugtrio,,
Alolan Diglett,Alolan Dugtrio,,
Meowth,Persian,,
Alolan Meowth,Alolan Persian,,
Galarian Meowth,Perrserker,,
Psyduck,Golduck,,
Mankey,Primeape,Annihilape,,
Growlithe,Arcanine,,
Hisuian Growlithe,Hisuian Arcanine,,
Poliwag,Poliwhirl,Poliwrath,
,,Politoed,
Abra,Kadabra,Alakazam,Mega Alakazam
Machop,Machoke,Machamp,
Bellsprout,Weepinbell,Victreebel,
Tentacool,Tentacruel,,
Geodude,Graveler,Golem,
Alolan Geodude,Alolan Graveler,Alolan Golem,
Ponyta,Rapidash,,
Galarian Ponyta,Galarian Rapidash,,
Slowpoke,Slowbro,Mega Slowbro,
,Slowking,,
Galarian Slowpoke,Galarian Slowbro,,
,Galarian Slowking,,
Magnemite,Magneton,Magnezone,
Farfetch'd,,,
Galarian Farfetch'd,Sirfetch'd,,
Doduo,Dodrio,,
Seel,Dewgong,,
Grimer,Muk,,
Alolan Grimer,Alolan Muk,,
Shellder,Cloyster,,
Gastly,Haunter,Gengar,Mega Gengar
Onix,Steelix,Mega Steelix,
Drowzee,Hypno,,
Krabby,Kingler,,
Voltorb,Electrode,,
Hisuian Voltorb,Hisuian Electrode,,
Exeggcute,Exeggutor,,
Alolan Exeggutor,,,
Cubone,Marowak,,
Alolan Marowak,,,
Tyrogue,Hitmonlee,,
,Hitmonchan,,
,Hitmontop,,
Lickitung,Lickilicky,,
Koffing,Weezing,,
Galarian Weezing,,,
Rhyhorn,Rhydon,Rhyperior,
Happiny,Chansey,Blissey,
Tangela,Tangrowth,,
Kangaskhan,Mega Kangaskhan,,
Horsea,Seadra,Kingdra,
Goldeen,Seaking,,
Staryu,Starmie,,
Mime Jr.,Mr. Mime,,
Galarian Mr. Mime,Mr. Rime,,
Scyther,Scizor,Mega Scizor,
,Kleavor,,
Smoochum,Jynx,,
Elekid,Electabuzz,Electivire,
Magby,Magmar,Magmortar,
Pinsir,Mega Pinsir,,
Tauros,,,
Magikarp,Gyarados,Mega Gyarados,
Lapras,,,
Ditto,,,
Eevee,Vaporeon,,
,Jolteon,,
,Flareon,,
,Espeon,,
,Umbreon,,
,Leafeon,,
,Glaceon,,
,Sylveon,,
Porygon,Porygon2,Porygon-Z,
Omanyte,Omastar,,
Kabuto,Kabutops,,
Aerodactyl,Mega Aerodactyl,,
Munchlax,Snorlax,,
Articuno,,,
Galarian Articuno,,,
Zapdos,,,
Galarian Zapdos,,,
Moltres,,,
Galarian Moltres,,,
Dratini,Dragonair,Dragonite,
Mewtwo,Mega Mewtwo X,,
,Mega Mewtwo Y,,
Mewtwo Armored,,,
Mew,,,
Chikorita,Bayleef,Meganium,
Cyndaquil,Quilava,Typhlosion,
,,Hisuian Typhlosion,
Totodile,Croconaw,Feraligatr,
Sentret,Furret,,
Hoothoot,Noctowl,,
Ledyba,Ledian,,
Spinarak,Ariados,,
Chinchou,Lanturn,,
Togepi,Togetic,Togekiss,
Natu,Xatu,,
Mareep,Flaaffy,Ampharos,Mega Ampharos
Azurill,Marill,Azumarill,
Bonsly,Sudowoodo,,
Hoppip,Skiploom,Jumpluff,
Aipom,Ambipom,,
Sunkern,Sunflora,,
Yanma,Yanmega,,
Wooper,Quagsire,,
Paldean Wooper,Clodsire,,
Murkrow,Honchkrow,,
Misdreavus,Mismagius,,
Unown,,,
Wynaut,Wobbuffet,,
Girafarig,Farigiraf,,
Pineco,Forretress,,
Dunsparce,Dudunsparce,,
Gligar,Gliscor,,
Snubbull,Granbull,,
Qwilfish,,,
Hisuian Qwilfish,Overqwil,,
Shuckle,,,
Heracross,Mega Heracross,,
Sneasel,Weavile,,
Hisuian Sneasel,Sneasler,,
Teddiursa,Ursaring,Ursaluna,
Slugma,Magcargo,,
Swinub,Piloswine,Mamoswine,
Corsola,,,
Galarian Corsola,Cursola,,
Remoraid,Octillery,,
Delibird,,,
Mantyke,Mantine,,
Skarmory,,,
Houndour,Houndoom,Mega Houndoom,
Phanpy,Donphan,,
Stantler,Wyrdeer,,
Smeargle,,,
Miltank,,,
Raikou,,,
Entei,,,
Suicune,,,
Larvitar,Pupitar,Tyranitar,Mega Tyranitar
Lugia,,,
Ho-Oh,,,
Celebi,,,
Treecko,Grovyle,Sceptile,Mega Sceptile
Torchic,Combusken,Blaziken,Mega Blaziken
Mudkip,Marshtomp,Swampert,Mega Swampert
Poochyena,Mightyena,,
Zigzagoon,Linoone,,
Galarian Zigzagoon,Galarian Linoone,Obstagoon,
Wurmple,Silcoon,Beautifly,
,Cascoon,Dustox,
Lotad,Lombre,Ludicolo,
Seedot,Nuzleaf,Shiftry,
Taillow,Swellow,,
Wingull,Pelipper,,
Ralts,Kirlia,Gardevoir,Mega Gardevoir
,,Gallade,Mega Gallade
Surskit,Masquerain,,
Shroomish,Breloom,,
Slakoth,Vigoroth,Slaking,
Nincada,Ninjask,,
,Shedinja,,
Whismur,Loudred,Exploud,
Makuhita,Hariyama,,
Nosepass,Probopass,,
Skitty,Delcatty,,
Sableye,Mega Sableye,,
Mawile,Mega Mawile,,
Aron,Lairon,Aggron,Mega Aggron
Meditite,Medicham,Mega Medicham,
Electrike,Manectric,Mega Manectric,
Plusle,,,
Minun,,,
Volbeat,,,
Illumise,,,
Budew,Roselia,Roserade,
Gulpin,Swalot,,
Carvanha,Sharpedo,Mega Sharpedo,
Wailmer,Wailord,,
Numel,Camerupt,Mega Camerupt,
Torkoal,,,
Spoink,Grumpig,,
Spinda,,,
Trapinch,Vibrava,Flygon,
Cacnea,Cacturne,,
Swablu,Altaria,Mega Altaria,
Zangoose,,,
Seviper,,,
Lunatone,,,
Solrock,,,
Barboach,Whiscash,,
Corphish,Crawdaunt,,
Baltoy,Claydol,,
Lileep,Cradily,,
Anorith,Armaldo,,
Feebas,Milotic,,
Castform Neutral,,,
Castform Rain,,,
Castform Sun,,,
Castform Snow,,,
Shuppet,Banette,Mega Banette,
Duskull,Dusclops,Dusknoir,
Tropius,,,
Chingling,Chimecho,,
Absol,Mega Absol,,
